Postcode,"Avg asking price","Average £/sqft","Sales per month","Turnover (sale)","Avg asking rent (pm)","Avg yield","Turnover (rental)",3yr,"Crime rate",Population,Degree,"Avg. household income","Social rent",URL
SR1,"69,880",86,3,2,492,8.4,13,11,697,"5,336",16,"26,600",56,https://propertydata.co.uk/draw?input=SR1
SR2,"140,183",128,18,5,452,3.9,13,11,174,"33,440",22,"33,100",21,https://propertydata.co.uk/draw?input=SR2
SR3,"165,774",147,20,8,506,3.7,,10,105,"38,306",18,"33,000",28,https://propertydata.co.uk/draw?input=SR3
SR4,"111,120",121,23,7,489,5.3,46,7,149,"41,793",15,"30,500",24,https://propertydata.co.uk/draw?input=SR4
SR5,"99,385",111,15,10,481,5.8,33,8,153,"34,594",14,"28,400",40,https://propertydata.co.uk/draw?input=SR5
SR6,"233,209",170,23,7,510,2.6,8,13,85,"30,270",23,"38,100",11,https://propertydata.co.uk/draw?input=SR6
SR7,"116,017",118,19,7,478,4.9,44,13,116,"31,175",16,"33,100",22,https://propertydata.co.uk/draw?input=SR7
SR8,"94,570",68,18,4,441,5.6,32,13,190,"35,442",13,"30,000",24,https://propertydata.co.uk/draw?input=SR8
SS0,"290,615",284,30,6,894,3.7,95,9,149,"41,212",24,"41,100",6,https://propertydata.co.uk/draw?input=SS0
SS1,"287,664",308,24,8,827,3.5,38,8,268,"26,369",21,"40,600",12,https://propertydata.co.uk/draw?input=SS1
SS2,"276,451",268,27,8,895,3.9,76,7,183,"36,418",17,"38,600",20,https://propertydata.co.uk/draw?input=SS2
SS3,"328,410",298,20,10,"1,028",3.8,,10,104,"28,499",19,"41,500",20,https://propertydata.co.uk/draw?input=SS3
SS4,"342,466",310,16,12,,,,8,85,"20,773",19,"42,100",13,https://propertydata.co.uk/draw?input=SS4
SS5,"460,245",331,17,13,,,,11,53,"21,681",19,"45,200",3,https://propertydata.co.uk/draw?input=SS5
SS6,"384,524",360,28,13,"1,091",3.4,89,8,65,"32,035",21,"47,800",7,https://propertydata.co.uk/draw?input=SS6
SS7,"396,398",342,42,11,995,3.0,,9,71,"49,121",18,"44,400",4,https://propertydata.co.uk/draw?input=SS7
SS8,"288,979",299,27,12,906,3.8,,8,109,"38,138",10,"36,600",9,https://propertydata.co.uk/draw?input=SS8
SS9,"379,485",346,55,11,989,3.1,88,9,80,"49,984",24,"45,100",6,https://propertydata.co.uk/draw?input=SS9
SS11,"447,374",340,13,10,,,,10,87,"16,804",17,"46,000",8,https://propertydata.co.uk/draw?input=SS11
SS12,"417,149",355,14,11,"1,053",3.0,,10,93,"18,069",19,"45,800",8,https://propertydata.co.uk/draw?input=SS12
SS13,"297,143",272,9,7,"1,069",4.3,,6,193,"22,057",12,"36,800",33,https://propertydata.co.uk/draw?input=SS13
SS14,"284,133",302,10,4,842,3.6,36,9,265,"25,132",12,"37,600",34,https://propertydata.co.uk/draw?input=SS14
SS15,"332,155",334,20,9,"1,028",3.7,80,9,154,"28,608",16,"40,700",36,https://propertydata.co.uk/draw?input=SS15
SS16,"366,166",328,20,9,"1,032",3.4,50,9,132,"29,572",17,"45,900",27,https://propertydata.co.uk/draw?input=SS16
SS17,"357,911",313,27,9,"1,035",3.5,,9,79,"32,518",15,"45,100",11,https://propertydata.co.uk/draw?input=SS17
ST1,"105,112",123,22,7,470,5.4,26,7,164,"29,562",16,"32,200",21,https://propertydata.co.uk/draw?input=ST1
